title_ch,title_eng,body,hsk_level,link
我和小李,Me and Li,我和小李是好朋友，我们经常见面。有时候我们一起吃饭，有时候一起去商店买东西，有时候小李帮助我学习汉语，有时候我帮助她学习英语。这个周日，我们准备一起运动。我喜欢打羽毛球，她喜欢游泳。我们想先打羽毛球，再去游泳，两个人都会很高兴。,2,https://mandarinbean.com/me-and-li/
我的一个下午,One of my afternoons,我想今天下午去看电影，但是没有好电影。我就打电话给我的好朋友，想和她一起去运动，但是她说今天身体不舒服，我们只能去商场买东西了。我们看见一条漂亮的裙子，她喜欢白色，我喜欢黑色，但是黑色的裙子有点儿贵，所以我买了两条白色的，一条给自己，一条送给她,2,https://mandarinbean.com/one-of-my-afternoons/
散步,Take a walk,一天晚上，一个男孩和一个女孩在公园散步。 男孩说:”今天晚上的天气不太好，有点儿冷。” 女孩说:”是的，我也觉得今天晚上有点儿冷。” 说完后，男孩看了看自己的衣服。这时女孩心里很高兴，她以为男孩要把自己的衣服给她穿。但是男孩说:”还好我今天穿了两件衣服。”,2,https://mandarinbean.com/take-a-walk/
口渴,Thirsty,一个男人对他的朋友说：我做了一次手术，手术后医生把一块海绵忘在我的身体里了。 朋友说：太糟糕了！你会觉得疼吗？ 这个男人说：不疼，只是经常很渴。,2,https://mandarinbean.com/thirsty/
寄信,Send a letter,有一天，爸爸让八岁的女儿去寄一封信，女儿已经拿着信跑了，爸爸才想起信封上没写地址和收信人的名字。 女儿回来后，爸爸问她：你把信丢进邮筒了吗? 女儿回答：当然。 爸爸：你没看见信封上没有写地址和收信人名字吗? 女儿：我当然看见信封上什么也没写。 爸爸：那你为什么不拿回来呢？ 女儿：我还以为你不写地址和收信人,2,https://mandarinbean.com/send-a-letter/
做事,Do Things,李明刚上一年级，非常不喜欢做作业。一天晚上，他对妈妈说：”妈妈，我今天不想写作业了，明天写可以吗？” 妈妈说：”自己的事情要自己做，今天的事情也要今天完成，不要留到明天。” 李明说：”好吧，妈妈，你可以把刚才的蛋糕给我吗？这是今天的蛋糕，所以我要今天把它吃完。”,2,https://mandarinbean.com/do-things/
芭蕾舞,Ballet,有一天,2,https://mandarinbean.com/ballet/
儿子和女儿,Son and Daughter,有两个老太太在一起说话，她们中的一个问：“你儿子还好吧？” “真是不幸！”老太太说：“他的老婆太不好了，不做饭、不洗衣服、不带孩子，天天就是睡觉，我儿子还每天做好饭，送到房间里给她吃呢！” “那女儿呢？” “那她可就好了。”老太太笑了：“她有一个不错的老公。所有的事都是老公来做，洗衣服、带孩子，她老公还每天做好饭，送到房间里给她吃呢！”,2,https://mandarinbean.com/son-and-daughter/
早点儿睡觉,Sleep Earlier,哥哥今天很累，我问他为什么，他说昨天晚上睡得太晚了。我觉得很奇怪，因为他昨天晚上9点就说要睡觉了。他说在睡觉前想起来有一件事要做，可是忘记了是什么事情，想了很长时间，最后终于想起来了，这件事就是要早点儿上床睡觉。,2,https://mandarinbean.com/sleep-earlier/
爸妈不在家,Dad and mom are not at home,今天爸爸妈妈不在家，我和弟弟妹妹在家。 妹妹想喝可乐，吃米饭；弟弟想喝茶，吃面条；我想喝咖啡，吃面包。但是我不会做米饭和面条，他们不喜欢面包，这是个问题。 爸爸妈妈什么时候回家呢？,1,https://mandarinbean.com/dad-and-mom-are-not-at-home/
我的包,My Bag,今天公共汽车上有很多人。一个老人上车后看见一个空座位，他走过去想坐。但是一个小包在空座位上，一个年轻人坐在旁边。 老人问：这个座位有人吗？ 年轻人说：有，这是一个老太太的座位。她买东西去了。 但是汽车开了，也没有人回来。老人说：她还没回来，可是她的包还在这，我们扔到外面还给她吧！ 年轻人大叫：不！那是我的包！,2,https://mandarinbean.com/my-bag/
借钱,Lend Money,我不会借给朋友一大笔钱。不是因为不想帮助朋友，是因为我觉得我们的友谊更珍贵，友谊是无价的。我不想我的朋友因为不能还钱而避开我。如果他因为我不借钱而避开我，那可能他觉得我们的友谊不如那些钱。所以我不会借钱给朋友，但是我会把钱送给朋友，不能拿回钱也没关系。,2,https://mandarinbean.com/lend-money/
都是他的错,It’s all his fault,大龙和小波是我的两个儿子。今年他们八岁了，但是经常打架。 上个星期六，我对他们说：我现在要做午饭了,2,https://mandarinbean.com/its-all-his-fault/
没坐错,Didn`t take the wrong place,在一家电影院里，电影在播放的时候，一个坐在中间的人站起来走去厕所了。五分钟后他回到自己的座位，问坐在旁边的男人：对不起，请问我刚才出去的时候踩到你的脚了吗？ 男人回答：是的，但没关系，不疼。 这个人说：不，我不是这个意思，我只是想知道这是不是我的座位。看来我没坐错。,2,https://mandarinbean.com/didnt-take-the-wrong-place/
没见过,Never Seen,7岁的女儿回家后，妈妈看见她的手很脏，就说：”看你的手，多脏！你什么时候看到过我的手这么脏了？” 女儿回答：”没有，妈妈。因为我没有看到过你7岁的样子。”,1,https://mandarinbean.com/never-seen/
数学考试,Math Exam,星期一上午有数学课，老师一进教室就说：”今天，我们考试，请大家认真完成试卷，难的可以不做。” 45分钟后，考试结束了。老师在收试卷的时候，发现小明的试卷上什么也没有写。老师问他：”你怎么不做题？”小明回答：”你说男的可以不做。”老师很生气，说：”我说的是难的题可以不做！”,2,https://mandarinbean.com/math-exam/
爱好太多,Too many hobbies,小杨今年8岁，常常让爸爸妈妈不高兴。他说他想学画画，每个星期天妈妈都不休息，和他一起坐车到学校去。可是只学了两个月，他说画画不容易，不想学了。他又说想学唱歌，爸爸就请老师来家里教他，现在刚学了一个月，他就说唱歌也没意思。爱好太多，但是不能坚持。现在爸爸爸妈妈不知道怎么办了，是不是别的孩子也这样呢？,2,https://mandarinbean.com/too-many-hobbies/
我的好朋友,My good friend,我的好朋友名字叫陈陈。他喜欢喝酒，我喜欢运动。小学和中学，我们都是一个班的同学。大学我们不在一个学校，但是我们还在一个城市生活。后来他去了杭州工作，我去了上海，但是我们还是经常见面。,2,https://mandarinbean.com/my-good-friend/
准备旅游,Prepare for travel,下个月我想去旅游，但是还没想好去哪儿。朋友觉得北方好玩，但是下个月北方太冷了，南方好一些，不冷也不热。旅游的时候水果、面包、手机、电脑、地图，我都想带去。朋友说应该少带一些东西，因为这是旅游，不是搬家。但是我还是想多带一些衣服，这样每天都可以穿漂亮的衣服照相。,2,https://mandarinbean.com/prepare-for-travel/
跳舞,Dancing,张老师最近有了一个新学生，她是个八岁的小女孩，她的妈妈带着她来学跳舞。上课一个月以后，老师发现这个女孩每次上课都不笑。原来是这个女孩的妈妈逼她来学跳舞，但是小女孩不喜欢。老师问这个妈妈为什么一定要让孩子学跳舞？这个妈妈说，因为她从小就觉得会跳舞的人都很美，所以想让孩子来学。老师说：那么下次孩子就不用来了，她不喜欢，也不快乐，喜欢跳舞的是你，你才应该来当我的学生。,2,https://mandarinbean.com/dancing/
十个水果,Ten fruits,妈妈问儿子：儿子，如果你有十个水果，吃了四个，那么你还有几个水果？ 儿子说：十个。 妈妈说：不对，为什么是十个？ 儿子说：因为四个水果在我的肚子里面，还有六个在外面，四加六等于十，不对吗？,2,https://mandarinbean.com/ten-fruits/
两次,Twice,哥哥几个月前开始学习驾驶飞机，很快，他就学会了。一天，他请妹妹坐自己的飞机，妹妹同意了。在飞机上飞了半个小时以后，他们就下来了。 妹妹说：谢谢你带我坐了两次飞机。 哥哥很奇怪：两次？我们只飞了一次！ 妹妹说：是的，我的第一次和最后一次。,2,https://mandarinbean.com/twice/
我的汉语老师,My Chinese teacher,因为工作需要，我必须学习汉语，但是学习了一段时间以后，我觉得汉语越来越难，有点儿无聊，不想学了。上个月，一个新的汉语老师来教我，我发现她的方法很不一样。她会让我听中文歌，看中文电影和新闻，我们也会一起讨论很多关于中国的问题。我现在对汉语又有兴趣了。,2,https://mandarinbean.com/my-chinese-teacher/
完美儿子,Perfect Son,办公室里大家都在讨论自己的孩子，一个新同事说：我有一个很完美的儿子，不抽烟，不喝酒，不会很晚回家，每天很早就睡觉了。大家都很惊讶：真是太完美了，他多少岁了？新同事说：是的，他这个星期就1岁了！,2,https://mandarinbean.com/perfect-son/
感恩,Thanksgiving,爸爸想让儿子学会感恩，所以就对儿子说：”妈妈每天都要送你去学校，给你做饭、洗衣服，还要上班赚钱给你买东西，她多不容易，你长大了应该怎么做呢？” 儿子想了想，认真地回答：”爸爸，等我长大了，一定不会让我妻子做这么多事，这些事我自己一个人全包了！”,2,https://mandarinbean.com/thanksgiving/
应酬,Social Engagement,爸爸给家里打电话，儿子接电话后，爸爸说：”儿子，告诉你妈妈，我今天晚上有应酬，不能回来吃饭了。” 儿子不明白“应酬”的意思，好奇地问：”什么叫应酬啊?” 爸爸回答：”不想去，但是又不得不去的叫应酬。” 第二天，去学校前，儿子说：”爸爸，我要去应酬了。”,2,https://mandarinbean.com/social-engagement/
签名,Signature,有一天，数学考试后，老师要求大家回家后让自己的爸爸妈妈在试卷上签名。小明考得不太好，不希望爸爸妈妈看见自己的成绩。所以他对爸爸说：”好爸爸,2,https://mandarinbean.com/signature-story/
妻子的歌声,Wife’s Singing,妻子很喜欢唱歌，但是她唱得非常难听，好像在哭一样。所以妻子一唱歌，丈夫就会离开房间去阳台。 有一天，妻子难过地问丈夫：”为什么每次我唱歌的时候，你总是到阳台去？你不喜欢我的歌声吗？” 丈夫回答：”我喜欢你的歌声，但是我也想让大家知道，我并没有打你。”,2,https://mandarinbean.com/wifes-singing/
简单的常识,The Simplest Common Sense,大学生们在公园聊天，有一个人问：”一滴水如果从很高的地方落下来，会不会把人砸死？” 大家想了很多办法去计算，用了近一个小时，还是没有计算出来。 有一个人路过时听到了他们的谈话，就问：”你们没有看见过雨吗？雨能砸死人吗？” 这时，学生们发现自己忘记了最简单的常识。,2,https://mandarinbean.com/the-simplest-common-sense/
害怕斧头,Be Afraid of the Axe,一天晚上，吃完饭后，妈妈对七岁的女儿说：”有一个叔叔请一个男孩去砍柴，没想到男孩把他最爱的树砍掉了。这位叔叔非常生气，但是他没有马上去骂那个男孩，你觉得是为什么?” 女儿回答：”这位叔叔看到了男孩手上的斧头，所以他想等男孩放下斧头后再去骂他。”,2,https://mandarinbean.com/be-afraid-of-the-axe/
不及格的原因,Reason for Failing,上二年级的女儿数学考试不及格，妈妈问：”为什么？今天的考试很难吗？” 女儿回答：”不难，我都会做。老师问我2乘3等于多少？我说等于6。” 妈妈说：”这没有错啊！” 女儿接着说：”老师又问我3乘2等于多少？” 妈妈说：”这不是一样吗？” 女儿说：”对啊，我当时也是这么说的。”,2,https://mandarinbean.com/reason-for-failing/
妈妈的玩笑,Mother’s Joke,星期日，五岁的小天和妈妈一起在家看电视。电视里说到领养孩子，小天很担心自己是被领养的孩子，所以问妈妈：”妈妈，我是你领养的吗？” “傻孩子，当然不是！”妈妈回答。 小天高兴地说：”我就知道我是你亲生的!” 妈妈想和小天开个玩笑，就说：”也不是，你是我捡来的！”,2,https://mandarinbean.com/mothers-joke/
游泳课,Swimming Lesson,小明的妈妈想让儿子学会游泳，就给他报了游泳班。妈妈说：”小明，我给你报了游泳班，这样你就可以玩水了！”小明喜欢玩水，所以很高兴。 上课第一天，练习了2个小时后，小明就对游泳老师说：”老师，上午就练习到这儿吧。” “为什么呢？”老师问。 小明不好意思地说：”池子里的水太难喝了！我都快喝饱了。”,2,https://mandarinbean.com/swimming-lesson/
生一条小狗,Give Birth to a Puppy,儿子已经五岁了，很喜欢小狗，希望爸爸妈妈能给他买一条小狗。有一天，妈妈问儿子：”我想再生一个孩子，你喜欢弟弟还是妹妹？” 儿子回答：”小弟弟和小妹妹都一样——我有其他的选择吗？” “啊？除了弟弟妹妹，还能有什么其他选择？”妈妈想。 儿子继续说：”你给我生一条小狗吧，男的女的都可以。”,2,https://mandarinbean.com/give-birth-to-a-puppy/
早到五分钟,Five Minutes Early,上大学的时候，每天早上张月都准时去上英语课。有一天，张月起得很晚，着急地跑到学校后，听见教室里正在上课，就赶快开门，对老师说：”不好意思，我迟到了。”没想到老师笑着说：”同学，你来早了，第一节英语课还没下课呢！” 张月一看手表，发现自己早到了5分钟，就赶快跑出了教室。,2,https://mandarinbean.com/five-minutes-early/
坐车,Ride in a Car,一天，爸爸带儿子去玩。回来的路上，儿子对爸爸说：”爸爸，我累了，我们坐车吧。” ”那要看你表现。”爸爸说。 儿子说：”好的，如果我表现好，我们就坐公共汽车回去；如果我表现不好，我们就坐出租车回去。”,1,https://mandarinbean.com/ride-in-a-car/
四舍五入,Round Off,儿子高兴地从学校回来，问妈妈：”爸爸呢？” 妈妈奇怪地问：”爸爸在家，你找爸爸做什么？” 儿子回答：”我向爸爸要5角钱。” ”为什么？”妈妈问。 儿子回答：”在考数学以前，爸爸对我说‘如果考100分，就给我1元钱，考80分就给8角。’今天，我数学考了45分。数学上要四舍五入，所以爸爸必须给我5角钱。”,2,https://mandarinbean.com/round-off/
睡着,Fall Asleep,儿子不想睡觉，爸爸坐在他的旁边给他讲故事。一个小时过去了，房间里很安静，没有一点儿声音。 这时妈妈开门问：”他睡着了吗？” ”睡着了，妈妈。”儿子说，”爸爸读了一分钟就睡着了。”,1,https://mandarinbean.com/fall-asleep/
酒量,Capacity for Liquor,数学老师问：”桌子上有三杯酒，我请你父亲喝一杯，还有几杯？” 小学生回答：”一杯也没有了。” 数学老师说：”你好像还没有听懂，那我再说一遍吧。桌子上有三杯酒，我请你父亲喝一杯，还有几杯？” 小学生回答：”老师，真的一杯也没有了，你不了解我父亲的脾气，如果他看见桌子上有酒，一定一杯也不会剩的。”,2,https://mandarinbean.com/capacity-for-liquor/
结果,Result,老师说：”今天我们来学习减法。小明，你哥哥有五个苹果，你从那儿拿走三个，结果会怎样？” 小明回答：”老师，结果他一定会打我的！昨天我只吃了哥哥的一个苹果，他就打我了。所以我们可以不从哥哥那儿拿走苹果吗？”,1,https://mandarinbean.com/result/
洗脸,Wash the Face,7岁的小波不喜欢洗脸。有一天，老师看见他的脸很脏，就说：”你怎么每天不洗脸？吃的早饭渣还在脸上呢？” 小波说：”老师，那你猜猜我吃的是什么？” 老师说：”米饭。” 小波说：”老师，你猜错了，那是昨天吃的。”,1,https://mandarinbean.com/wash-the-face/
换医生,Change a Doctor,小亮身体不舒服，被妈妈带去医院看病。小亮很害怕，刚到医院就想走。医生为了让他不那么害怕，就指着他的耳朵对他说：”小朋友，你知道这是什么吗？这是你的鼻子吗？” 小亮看了看医生，对妈妈说：”妈妈，我们需要换一个医生了。他连鼻子和耳朵都不知道，怎么给我看病?”,2,https://mandarinbean.com/change-a-doctor/
生日礼物,Birthday Present,一对情侣在公园散步，女孩高兴地问男孩：”明天是我的生日，你想好送我什么礼物了吗？” 男孩回答：”和去年一样。” 女孩问：”去年你送了我什么？” 男孩回答：”和前年一样。”女孩又问：”前年你送了什么呢？” 男孩回答：”前年我不认识你，所以什么也没送。”,2,https://mandarinbean.com/birthday-present/
分西瓜,Distribute Watermelon,爸爸买了一个西瓜，儿子叫来了两个小朋友一起吃，一个说：”我要二分之一。” 另一个说：”我要三分之一。” 儿子最后说：”这个西瓜是我爸爸买的，我就多吃一点儿，我要百分之一！”,1,https://mandarinbean.com/distribute-watermelon/
这是一个伤心的故事,This Is a Sad Story,有三个人去北京玩，他们在一个宾馆的第45层订了一个房间。 一天晚上，电梯坏了，他们决定走回房间。他们一起唱歌、讲故事，感觉走得很快，也很高兴。但是走到34层的时候，大家都累了，有一个人让麦克讲一个故事。 麦克说：”这是一个让人伤心的故事，我把房间的钥匙忘在一层了。”,2,https://mandarinbean.com/this-is-a-sad-story/
聪明的小贩,Smart Hawker,有一个人去买牛奶，小贩说：”三元一杯，十元三杯。” 他拿三块钱买了一杯，像这样买了三次，然后对小贩说：”你看，我拿九块钱就买了三杯。” 小贩说：”我这么做，每次都能卖出三杯。”,1,https://mandarinbean.com/smart-hawker/
在中国学中文,Learn Chinese in China,去年夏天，我来到中国。现在我在中国已经学习11个月了。我很快会结束在中国的学习，下个月我就要回国了。 一开始，我觉得很难用中文和别人交流。现在我中文说得好多了，甚至可以看懂中文电视，这是因为我学习很努力，老师和同学对我的帮助也很大。现在我有许多中国朋友。一些朋友会邀请我去他们家吃饭。我对中国文化和中国人都很感兴趣。谢谢他们，我希望以后可以来中国工作。,2,https://mandarinbean.com/learn-chinese-in-china-2/
聪明的警察,Smart Policeman,有一天，三位女士因为一件小事来到警察局。她们吵得很厉害，谁都不让别人先说，大家都没有办法。 这时候，聪明的杰瑞问：”你们先别吵，谁先说？”三位女士都觉得自己是对的，都想先说。 杰瑞说：”那就请你们中间最大的一位先说吧。”他说完后，房间就安静了。,2,https://mandarinbean.com/smart-policeman/
迷失的女孩,Lost Girl,有一个小女孩在路边哭，警察过来问：”好孩子，怎么了？” 小女孩哭着说：”我想回家，但是我不知道回家的路了。” 警察问：”你爸爸叫什么？” 小女孩说：”亲爱的！” 警察问：”你妈妈叫什么？” 小女孩说：”宝贝！”,1,https://mandarinbean.com/lost-girl/
看不到,Out of Sight,有一天，爸爸回家后，问儿子：”今天的数学考试怎么样？”儿子只考了59分，他非常害怕爸爸会打他，所以紧张地把试卷给了爸爸。 没想到，爸爸看完试卷后说：”虽然你考得很差，但是看到你的成绩，有一点我可以相信，就是你考试的时候没有看别人。” 儿子回答：”不是没有看，是看不到！”,2,https://mandarinbean.com/out-of-sight/
玩水,Playing with Water,星期六，妈妈和儿子在家看电视。妈妈说：”儿子，你很喜欢玩水，是不是？” 五岁的儿子以为妈妈要带他去游泳池玩，高兴地说：”是的，妈妈。” 妈妈说：”那你一定也喜欢洗碗，今天你洗碗，怎么样？”,1,https://mandarinbean.com/playing-with-water/
爸爸的生日,Dad’s Birthday,爸爸回家后高兴地对五岁的儿子说：”今天是我的生日，我们今天吃蛋糕。” 儿子问：”生日是什么意思？” 爸爸回答：”生日就是出生的日子。” 儿子听了，感到到很奇怪，问：”爸爸，今天是你出生的日子，那你怎么马上就长这么大了！” 爸爸笑着回答：”傻孩子，爸爸是三十年前的今天出生的！”,2,https://mandarinbean.com/dads-birthday/
爬山,Climb Mountain,星期六，爸爸带着小儿子爬山，他们花了3个小时爬到了山顶。 爸爸说：”看，山下的景色多好！” 儿子说：”爸爸，山下的景色那么好，我们为什么要花那么多时间爬上来呢？”,1,https://mandarinbean.com/climb-mountain/
钓鱼,Fishing,有个老人在钓鱼，一个小孩走过去看他。老人觉得小孩很可爱，要把所有的鱼都送给他，但是小孩摇摇头，老人感到很奇怪，问：“为什么不要呢？” 小孩回答：“爷爷，我很喜欢吃鱼，但是这些鱼很快就会吃完。如果你教我学会了钓鱼，我就可以自己钓，这样一辈子也吃不完。”,2,https://mandarinbean.com/fishing/
学英语,Learn English,老师说：”我们学校从下学期开始，用英语上课。” 学生说：”我们会听不懂的。” 老师说：”学英语就是要多听,1,https://mandarinbean.com/learn-english/
不是我的狗,Not my dog,一个女人走进一个商店，看见一只很可爱的小狗。她问老板：你的狗咬人吗？老板说：不，我的狗不咬人。 这个女人就开始摸小狗，但是小狗还是咬了她。 她很生气：你说你的狗不咬人！ 老板回答：是的，但是那不是我的狗。,2,https://mandarinbean.com/not-my-dog/
我渴了,I`m thirsty,妈妈：你怎么啦？ 孩子：妈妈，我累了……口也很渴。 妈妈：坐在这儿吧。你现在怎么样？ 孩子：好一点。 妈妈：看！那有可乐！我去买。 妈妈：给你喝！ 孩子：谢谢，妈妈。真好喝。 妈妈：你现在好了吗？ 孩子：是的，现在好了，谢谢妈妈！,1,https://mandarinbean.com/im-thirsty/
叫的狗不咬人,Barking Dogs Don’t Bite,吃完晚饭后，爸爸和儿子一起在公园散步。突然，一只大黑狗从前面跑过来对着他们叫。儿子非常害怕，躲到了爸爸后面。 爸爸说：“别怕，孩子。你知道吗？叫的狗是不咬人的，不叫的狗才危险呢。” 儿子说：“我知道，爸爸。可是那只狗可能不知道这个道理。”,2,https://mandarinbean.com/barking-dogs-dont-bite/
一块钱,One Dollar,有一天，女儿在朋友明明家玩。回家后，她对妈妈说：“妈妈，明明家一定很穷。” 妈妈问：“你怎么知道？” 女儿说：“今天明明只是吃下了一块钱，他的爸爸妈妈就都很紧张。”,1,https://mandarinbean.com/one-dollar/
让失去变得可爱,Make the Loss Cute,有个人买了一双新鞋子，他非常喜欢，所以他穿着新鞋子坐火车去见女朋友。但是在火车上，他的一只鞋子从火车上掉了下去。大家都觉得很可惜，但是他立即把第二只鞋子也扔了下去。大家觉得很奇怪，这个人说：“这一只鞋子对我来说已经没有用了，但是如果有人能捡到一双鞋子，说不定他还能穿呢！”,2,https://mandarinbean.com/make-the-loss-cute/
爱玩的学生,Playful Student,三年级有一个非常聪明的学生，但是他很爱玩，不喜欢做作业，也不喜欢听课。 有一天，他对学校的老师说：“我懂的东西已经很多了，所以我不想读书了。” 老师问：“那你想做什么呢？” 学生说：“教二年级。”,1,https://mandarinbean.com/playful-student/
小狗和小猫,Puppy and kitten,我的小狗第一次看见朋友的小猫，很害怕。 小狗第二次看见小猫时，它站在小猫旁边，看着小猫。 第三次看见小猫时，它走过去，和小猫玩。 很快，它们成了好朋友。,2,https://mandarinbean.com/puppy-and-kitten/
忘了带书,Forgot to bring books,A：喂？你在哪？你没带你的书！ B：什么？你是谁？ A：我是你妈！我看见你的书在家。你忘了，是吗？ B：妈妈！对，我的书在家，今天不用带书。 A：好的，知道了。今天想吃什么？ B：我想吃米饭。 A：好的，吃米饭。再见。 B：再见！,1,https://mandarinbean.com/forgot-to-bring-books/
白板,Whiteboard,有个老师进了教室，在白板上画了一个黑点。他问学生：“这是什么？”大家都回答：“一个黑点。”老师说：“只有一个黑点吗？这么大的白板大家都没有看见吗？” 你看到的是什么呢？每个人都有一些缺点，但是也一定会有很多的优点。换一个角度去看吧！你会有更多新的发现。,2,https://mandarinbean.com/whiteboard/
春游,Spring Tour,星期日，学校组织春游,1,https://mandarinbean.com/spring-tour/
今天生气了,I got angry today,我的男朋友今天早上说，晚上我们一起吃饭，因为他想给我过生日。我有点儿生气，因为我的生日不是今天，下个星期才是我的生日。他知道我不高兴，就告诉我，因为下个星期他要去北京，不能给我过生日。他又说，去公司旁边的饭馆吃饭。我更生气了，因为那个饭馆的菜都是我非常不喜欢的。我问他为什么，他说因为很近，很方便。我现在一点儿也不想和他见面了。,2,https://mandarinbean.com/i-was-pissed-off-today/
新朋友,New Friend,今天在公司认识了一个新朋友，他是个中国人。晚上他带我去了一个中国饭馆，这是我第一次吃中国菜，很好吃，我很喜欢。他说周末可以教我做中国菜，我非常高兴。他是个很好的朋友，但是他的英语不好，我想我可以学习汉语，我们就可以交流更多了。,1,https://mandarinbean.com/new-friend-2/
