title_ch,title_eng,body,hsk_level,link
计谋,Stratagem,一天，路上发生了交通事故，小明看见有很多人围在那里，他也想看看。但是人太多了，他进不去。这时候，他想了一个办法，哭着说：“让我进去！让我进去！那个人是我的爸爸！”人们听了，觉得很奇怪，但还是让他进去了。他走近一看，只见一只狗正躺在地上。,2,https://mandarinbean.com/stratagem/
退货,Return Goods,一个人带着他买的狗到宠物店，说：“我不要这只狗了。” 老板说：“这只狗很聪明，你为什么不想要了呢？” 他说：“我觉得它一点儿也不聪明，昨天学校的作业它做错了很多！”,1,https://mandarinbean.com/return-goods/
礼物,Gift,妈妈生日那天，一进家门就看见桌子上放着一碗面条。妈妈非常高兴，她觉得这是儿子送她的礼物。 这时，儿子拿着一双筷子从厨房走出来，妈妈笑着说：“儿子，这是你给我的生日礼物吗？”“是的，妈妈，礼物就是我自己会做饭了！你喜欢这个礼物吗？” 说完，儿子大口吃了起来。,2,https://mandarinbean.com/gift-story/
吃苹果,Eating Apple,星期日，爸爸妈妈都不在家，只有哥哥和弟弟两个人。 桌子上有一个苹果，弟弟看见了，说：“哥哥，我想吃苹果。” 哥哥说：“可以啊，但是不知道苹果有没有坏。我先帮你尝尝。”说着，哥哥把苹果吃完了。,1,https://mandarinbean.com/eating-apple/
窗户,Window,有个人多年来一直觉得邻居很懒惰，“那个女人的衣服永远洗不干净，看，她晾在外面的衣服，总是有脏东西，我真的不知道，她为什么不洗干净一点儿。” 有一天，有个朋友到她家，才发现不是邻居的衣服没洗干净，而是她家的窗户很脏。朋友擦掉窗户上的脏东西后，对她说：“看，这不就干净了吗？”,2,https://mandarinbean.com/window-story/
避免迟到,Avoid Being Late,妈妈带儿子坐公共汽车去学校，谁知第一天就迟到了。第二天，儿子一上车就在车里跑了起来。 “你在做什么？快点儿坐下来！”妈妈说。 “我和车子一起跑，这样就不会迟到了！”,1,https://mandarinbean.com/avoid-being-late/
聪明的狗,Smart Dog,公园里，有很多人在遛狗，大家都夸自己的狗聪明。有的说自己家的狗会开门，有的说自己家的狗会跳舞…… 有一个人说：“我家的狗会做一件很特别的事，你们的小狗一定不会。它每天早上都会叼报纸回家。” 其他人说：“这不难啊，很多狗都能做到！” “但是我没有订报纸啊！”,2,https://mandarinbean.com/smart-dog/
三岁,Three Years Old,妈妈问儿子：“你今年几岁了？” 儿子回答：“我今年三岁了。” 妈妈又问：“那爸爸几岁了？” 儿子说：“爸爸也三岁。” 妈妈很奇怪：“爸爸为什么只有三岁呢？” “因为爸爸是在我出生那一天才变成爸爸的！”,1,https://mandarinbean.com/three-years-old/
我是谁？,Who Am I?,妹妹从小得了一种很奇怪的病，最多只能记住四个人。看着妹妹一天天长大，哥哥对她说:“如果你有了喜欢的人，就把我忘了吧。照顾好爸爸妈妈。” 有一天，哥哥接到一个电话，妹妹哭着问:“哥哥，我是谁啊？”哥哥听了感动得说不出话来，因为妹妹宁愿忘了自己，也不愿意忘了自己最爱的家人。,2,https://mandarinbean.com/who-am-i/
挨打的原因,The Reason for the Hit,小刚说：“妈妈，爸爸今天打了我两次！” 妈妈问：“你做什么了？” 小刚回答：“第一次是因为我给他看了一张零分的试卷。” “那第二次呢？”妈妈问。 小刚回答：“我告诉他，那张是他小时候的试卷。”,1,https://mandarinbean.com/the-reason-for-the-hit/
母爱,Maternal Love,有一个妈妈和她的女儿正在公园里玩。天气太热了，所以妈妈买了一个西瓜给女儿吃。 小女孩吃着西瓜，高兴地说：“妈妈，你真好！老师说母爱很伟大，是吗？”妈妈回答：“是啊，每个妈妈都很爱她的孩子。”小女孩看着一个孕妇，疑惑地问：“但是那个阿姨为什么把她的孩子吃到肚子里去呢？”,2,https://mandarinbean.com/maternal-love/
真的不知道,Really Don’t Know,老师对一个学生说：“你来说说这道题怎么做。” 学生说：“我不知道，老师。” 老师问：“怎么会不知道呢？从昨天的作业看，你已经会做了。” 学生说：“我真的不知道，昨天我睡觉的时候，爸爸还没做到这道题呢！”,1,https://mandarinbean.com/really-dont-know/
唠叨,Nag,妻子正在做菜，丈夫在她旁边一直唠叨不停：“慢些，小心！火太大了……油太多了……水少一点儿！” 妻子生气地说：“你能不能回房间做自己的事情？我知道怎样做菜，不需要你来告诉我。” 丈夫平静地回答：“我只是要让你知道，我开车时，你在旁边不停地说话，我的感觉如何……”,2,https://mandarinbean.com/nag/
检查作业,Check Homework,有一天，妈妈陪着她六岁的女儿学习。 女儿突然说：“妈妈，你真幸福，都不用做作业。”妈妈回答：“那我帮你写作业，你来检查，好吗？”女儿高兴地答应了。 检查作业时，女儿把作业都做了一遍。,1,https://mandarinbean.com/check-homework/
谁知道得多？,Who knows more?,小男孩问爸爸：“是不是爸爸总比孩子知道得多？” 爸爸回答：“当然!” 小男孩问：“电灯是谁发明的？” 爸爸笑着回答：“爱迪生。” 小男孩又问：“那爱迪生的爸爸怎么没有发明电灯？”爸爸看着他，不知道怎么回答这个问题。 很多时候，我们知道的不一定都是对的，孩子常常能给我们新的启发！,2,https://mandarinbean.com/who-knows-more/
盘子,Plate,有一天，妈妈和女儿一起洗盘子，爸爸和儿子一起看电视。突然，他们听见打破盘子的声音。儿子看着他父亲，说：“一定是妈妈打破的。”爸爸问：“你怎么知道？”儿子回答:“昨天，我打破了一个盘子，妈妈很不高兴。但是今天妈妈没有骂人。”,1,https://mandarinbean.com/plate-in-story/
确保安全,Ensure Safety,去年，弟弟告诉我，他正在种水果。我问他：“种西瓜了吗？” 弟弟：“没，我担心天不下雨。” 我又问：“那你种苹果了吗？” 弟弟：“没，我担心虫子吃了苹果。” 我再问：“那你种了什么？” 弟弟：“什么也没种，我要确保安全。” 最后，弟弟什么也没收获。,2,https://mandarinbean.com/ensure-safety/
爱,Love,女儿有两个苹果，妈妈问：“给我一个好不好？” 女儿看着妈妈，把两个苹果都咬了一口。这时候，妈妈很伤心。 但是女儿吃完后，对妈妈说：“这个甜，给妈妈！“,1,https://mandarinbean.com/love-story/
方仲永的故事,The Story Of Fang Zhongyong,从前，中国有一个非常聪明的孩子，叫“方仲永”。他没有见过笔和纸，但是五岁的时候，他突然哭着要纸和笔，说想写诗。他爸爸借来笔和纸，他拿起笔就写了一首诗，大家都觉得他写得不错。从此，他爸爸每天让他写诗赚钱，但是不让他学习新的知识。所以二十岁的时候，方仲永已经和普通人一样了。,2,https://mandarinbean.com/the-story-of-fang-zhongyong/
一块钱,One Yuan,小月对正在做饭的妈妈说：“妈妈，今天天气太热了，你能给我一块钱吗？我想给学校外面的先生一块钱。”妈妈很高兴，她觉得小月很有爱心，问：“为什么呢?”小月说：“我想买水果吃，小西瓜一块钱一个。”,1,https://mandarinbean.com/one-yuan/
中外的不同,The difference between China and foreign countries,中国的语言、文化和外国都有很大不同。比如，名字，中国人的名字是姓在前面，名在后面；日期，中国人说日期，是年、月、日，从大到小，而不是日、月、年。这些都是小问题，但是也都很重要，大家要注意。,2,https://mandarinbean.com/the-difference-between-china-and-foreign-countries/
教做菜,Teaching cooking,我会做很多东西，我最喜欢做菜。我的朋友、爸爸妈妈都喜欢我做的菜。他们也都很高兴能吃我做的东西，因为很好吃。有一天，我的好朋友说想学做菜，想请我教他，我同意了。我告诉他怎么做，但是他总是做不好。我觉得当老师太难了。,1,https://mandarinbean.com/teaching-cooking/
老板,Boss,有一个人去商店买鹦鹉。商店有三只鹦鹉。第一只卖300块，第二只卖500块，第三只卖800块。这个人觉得有点儿贵。服务员说因为第一只会说很多话！第二只会说话，还会跳舞！这个人问第三只呢？服务员说不知道它会做什么，但是第一只和第二只都叫它：老板！,2,https://mandarinbean.com/boss-story/
男朋友,Boyfriend,一个朋友告诉我，昨天他看见我的男朋友和一个女人一起坐出租车吃饭。我说不会的，他说他昨天没有时间吃饭。下班以后，我去他的公司，看见他和一个女人一起坐出租车走了。我打电话问他在哪，他说他今天很忙，在公司工作。我不知道怎么做，你们说呢？,1,https://mandarinbean.com/boyfriend/
周末做什么,What to do on weekend,周末又到了，朋友问我要做什么，我说不知道。旅游不行，只有两天，时间太短。打球和跑步不行，天气太热。学习语言，但是每个星期学5天汉语，周末我不想学了。妈妈想去商店买东西，但是我不想买东西，也不喜欢去商店。做什么呢？还是在家睡觉吧！,2,https://mandarinbean.com/what-to-do-on-weekend/
新朋友,New friend,李小姐是我今天认识的朋友。我今天在咖啡店吃东西，但是没钱。李小姐说可以借给我，我有点儿不好意思，但是我很想吃东西，就借了她的钱。我们一起吃饭，发现我的妈妈和她的爸爸是同学！我们都很高兴，想明天也一起吃东西。,1,https://mandarinbean.com/new-friend/
接朋友,Pick up friend,我的好朋友明天在上海有一个工作面试，所以她今天会从北京飞到上海，晚上住在我家。她的飞机是晚上八点，我到了机场发现飞机会晚两个小时。我有点担心，因为晚上十点半可能就没有地铁了，我们只能坐出租车。机场到我家很远，坐车要两个小时呢，可能会很贵，到家也会很晚。明她还要早起去公司，祝她好运吧！,2,https://mandarinbean.com/pick-up-friend/
我的生日,My Birthday,我在一九九二年二月二十九日出生，那一天是我的生日。我不喜欢这一天，因为这一天很不一样。一九九二年有三百六十六天，不是三百六十五天，多的那一天是二月的二十九日。这一年也叫“闰年”。你知道吗？你们每一年都可以过生日，我每四年才能过生日。,1,https://mandarinbean.com/my-birthday/
太晚了,Too late,丈夫生病很严重，妻子在丈夫身边哭，丈夫说：“别难过了！你会再找到一个好丈夫的！” 妻子更难过了：“太晚了！如果你10年前生病的话就好了。”,2,https://mandarinbean.com/too-late/
我的妈妈,My Mother,明天是妈妈的生日，她今年55岁。她有一个姐姐和两个弟弟。她不喜欢喝咖啡，但是很喜欢吃水果。她在医院工作，是一个医生，每天都很忙，工作的时间很长。有时候她下午6点下班，有时候晚上10点下班。她也喜欢买东西，所以她非常喜欢去商店。,1,https://mandarinbean.com/my-mother/
我要报复,I want to revenge,一个人对他朋友说：“这家公司对我不好！我要离开，我要报复！” 他朋友说：“我同意。不过，你现在离开，不是很好，因为公司不会失去什么。” 这个人问：“那我要怎么做？” 朋友说：“我觉得你要好好工作，先找到很多客户，再离开公司，让公司失去这些客户。” 这个人觉得朋友说得很对，就好好工作。一年后，他有了很多客户。 再见面时，朋友对他说：“现在是报复的好时机，你快离开公司！” 这个人笑着说：“经理告诉我，准备让我做经理助理，我现在不想离开公司了。”,2,https://mandarinbean.com/i-want-to-revenge/
我的爸爸,My Father,这是我的爸爸，今年55岁。他是一个老师，在四川的大学工作，星期一到星期五都要上班。他早上八点去学校，下午六点回家，吃饭以后喜欢喝茶，晚上十点睡觉。这是他的一天。,1,https://mandarinbean.com/my-father/
为什么学汉语,Why Learning Chinese,我的中国朋友喜欢问我：为什么要学汉语？因为我喜欢旅游，如果会说汉语，在中国旅行很方便。现在不会汉语也能在中国旅行，可是会汉语可以和中国人聊天，了解中国文化。我很喜欢中国，也想在中国工作。,2,https://mandarinbean.com/why-learning-chinese/
在车里等你,Wait for you in the car,儿子想去学校玩。今天很热，车里开着空调，我们喝着可乐，到了学校，儿子对爸爸说：你自己去玩吧，我和妈妈在车里等你。,1,https://mandarinbean.com/wait-for-you-in-the-car/
互相帮助,Help Each Other,我是一个留学生，在北京学习汉语。现在我想找一份工作，不知道留学生可不可以打工。我学过怎么教英语。所以我的朋友说，可以找一个中国学生，我教他英语，他教我汉语。我们可以互相帮助，还可以认识新的朋友。我觉得这个主意非常好。,2,https://mandarinbean.com/help-each-other/
水果,Fruits,妹妹喜欢吃水果。她的生日快到了，哥哥和姐姐一起去山上找好吃的水果给妹妹。 一个小时以后，姐姐找到了很多水果，哥哥只有一个水果。 姐姐问哥哥：你怎么只找到一个？ 哥哥说：好吃的水果很多，但我只要一个最好吃的就可以了。 姐姐笑哥哥说：那么多好吃的水果，你都不要。 可是，下山的路上，姐姐觉得水果太多太重了，得拿一些水果出来。 最后，回到家，姐姐也只有一个水果了。,2,https://mandarinbean.com/fruits-story/
四和十,Tongue Twister: four and ten,四是四， 十是十， 十四是十四， 四十是四十， 四和十、十和四， 四十和四十， 十四和十四。 请你来，试一试。,1,https://mandarinbean.com/tongue-twister-four-and-ten/
闰年,Leap Year,我们都知道，一年有12个月，365天。有365天的这一年，我们叫“平年”。有时候，一年有366天，这一年叫“闰年”。每四年有一个闰年。闰年的二月有二十九天，平年的二月有二十八天。,1,https://mandarinbean.com/leap-year/
盲人和灯笼,Blind and lantern,在还没有灯的时候，人们晚上都会点灯笼照路。 有一天，一个盲人到朋友家做客，天黑后，他的朋友为他点了个灯笼，说：“天晚了，路黑，你打个灯笼回家吧!” 盲人很生气地说：“你知道我看不见，还让我打个灯笼照路，不是笑话我吗?” 他的朋友说：“你错了。你在路上走，别人也在路上走，你打着灯笼，别人就可以看到你，就不会撞到你了。,2,https://mandarinbean.com/blind-and-lantern/
我的一天,One of my days,我今天7点起床吃东西，9点去学校上课。我的汉语不好，下午汉语老师帮助我学习，我们一起喝咖啡学习汉语。很谢谢我的汉语老师，现在都懂了。晚上6点，我回家和爸爸妈妈吃饭。今天不想看书了，睡觉吧！,1,https://mandarinbean.com/one-of-my-days/
在中国学汉语,Learn Chinese in China,现在，很多外国学生来中国学习。很多人学习汉语。美国人、英国人、泰国人……大家一起上课，一起说汉语。因为喜欢中国，他们认识了很多不同国家的同学和朋友，非常有意思。很多外国学生也希望以后可以在中国工作。,2,https://mandarinbean.com/learn-chinese-in-china/
雨季,Rain Season,现在中国是了雨季，经常有雨。雨季，是一年中下雨很多的季节。在中国，南方的雨季是4-9月，北方是6-9月。大家要注意。,2,https://mandarinbean.com/rain-season/
孩子的生日,The birthdays of children,我和我的好朋友都有孩子，我有一个女儿，她有一个儿子。我的女儿在2017年2月16日星期四出生。朋友的儿子生日是6月30日。他的生日快到了，不知道他想要什么礼物呢？,1,https://mandarinbean.com/the-birthdays-of-children/
生日,Birthday,今天是5月20日，好朋友的生日就要到了，时间过得真快。我不知道她准备做什么。但是我想她可以去杭州旅游。杭州很不错，我去过一次。从北京到杭州也不远，飞机火车都很方便。这肯定会是个特别的生日。,2,https://mandarinbean.com/birthday-story/
看电影,Watch Movie,听说有个新电影，我没看过，但是他们说很有意思。我想和我的女朋友去看，但是我的朋友们也想去。虽然我的朋友们不认识我的女朋友，但是我想让他们见面认识认识。我们就可以一起去看电影了。我们想明天去商场的那个电影院，我去过一次，那儿还可以，就是不便宜。明天见！,2,https://mandarinbean.com/watch-movie/
又迟到了,Be late again,我和杨陈是2017年9月在学校认识的，他是我同学。他每天坐出租车去学校，我走去学校，每天车很多，他常常迟到。今年我们去上海旅游，他坐飞机，我坐火车，天气不好，飞机晚了，他又迟到了。,1,https://mandarinbean.com/be-late-again/
闹钟,Alarm Clock,明天早上八点要开会，不能迟到。我买了一个小闹钟叫我起床。因为有它，这一晚我睡得很好。 第二天早上，我起来的时候已经七点四十了，我发现闹钟没有响。我到公司最快也要四十分钟，最后还是迟到了。 下班以后，刚到家，闹钟就响了，“时间到了，时间到了。”我看表，正好六点，原来我把时间定在了下午六点。,2,https://mandarinbean.com/alarm-clock/
买衣服,Buy Clothes,昨天上午，我和妹妹去商店买东西了，很晚回家。她买了一点儿水果，我买了不少衣服。我还看见了王先生，他去学开车了。王先生说我买的新衣服很漂亮，我很高兴。,1,https://mandarinbean.com/buy-clothes/
我的家,My Family,我是Erica，我的中文名字叫杨陈。我家有三口人，丈夫、儿子和我。 我的丈夫是一个美国人，他是一个老师。我是中国人，我在医院工作，是一个医生。我们的儿子今年两岁了，很可爱。我们还有一只小狗。我很爱他们。你家呢？,1,https://mandarinbean.com/my-family/
去中国旅游,Travel to China,你想去中国旅游吗？你觉得什么时候去最好？这个问题有点儿难。因为一年四季都是最好的时间。 春天，你可以去浙江、云南，那儿有很多花，也有很美的水。 夏天，你可以去西藏、内蒙古，那儿有雪山和草地。 秋天，你可以去新疆、北京，天气不冷也不热，北方的秋天非常美。 冬天，如果你不喜欢很冷的天气，你可以去海南游泳；如果你喜欢雪，你可以去东北，那是雪的天堂。 你最想去哪儿？,2,https://mandarinbean.com/travel-to-china/
给丈母娘的礼物,Gift for Mother-in-law,妻子：马上过年了，你想送我妈什么东西？ 丈夫：送一瓶好酒！ 妻子：为什么?我爸爸已经去世五年了，我妈妈不喝酒，你为什么要送酒？ 丈夫：因为我每次去她家，她只给我喝茶。,1,https://mandarinbean.com/gift-for-mother-in-law/
新老板,New Boss,我们公司来了一个新老板。大家听说他有很高的要求，但是不知道他第一天会做什么。 他第一次来办公室的时候，看到大家桌子上有很多东西，他非常不高兴地说：“我希望你的思想不要和这儿的桌子一样。” 大家都知道了，这个老板喜欢干净。他走后，大家开始打扫，办公室的桌子干净了。但是老板第二次来办公室的时候，看着干净的桌子，说：“我希望你们的头脑不要和现在的桌子一样，什么都没有。”,2,https://mandarinbean.com/new-boss/
雨水,Rain Water,今天是“雨水”，二十四节气中的第二个节气。 “雨水”是有关降水的节气。这个节气开始，天气变得暖和，雨会变多、变大。春天到了。 因为春天的雨很珍贵，所以有“春雨贵如油”的说法。 这一天，已经结婚的女儿们要回家看爸爸妈妈，还要送给妈妈一段红绸和一罐炖肉。 “好雨知时节，当春乃发生。随风潜入夜，润物细无声。”也是很有名的唐代诗句，说的就是春雨。,2,https://mandarinbean.com/rain-water/
立春,Beginning of Spring,立春，二月四号，这是今年的第一个节气。 “立”有开始的意思，“立春”就是春天开始了。 这一天，中国人会吃萝卜、姜、饼等东西，称为“咬春”。 大家也会吃一些春天的菜，迎接新春。,2,https://mandarinbean.com/beginning-of-spring/
买耳环,Buy Earrings,一个女人在商店里看见两只一样的耳环。 但是，一只的价格是五百元，另一只的价格只有二百五十元。 她很高兴，以为是商店写错了，现在买就太便宜了。 她就马上买了那个便宜的耳环，非常高兴地走出了商店。 这时候，店里面的一个店员对另一个店员说：“你看，我们这样写价格，看见的人都买了。”,2,https://mandarinbean.com/buy-earrings/
礼物,Gifts,冬天有很多节日。 节日里，大家喜欢买东西送给朋友和家人。 但是，商店的人非常多，我很不喜欢人山人海的地方。 所以，现在我不知道送什么给他们。你们说呢？,2,https://mandarinbean.com/gifts-liwu/
你好，2018,Hello 2018,新年，在中国也叫元旦。 元旦有4000多年历史了。 每年1月1日，新的一年到来。 下个星期一是元旦节，2018年开始。 12月30号到1月1号，放假三天。你们去哪儿？ 再见，2017。你好，2018。 祝你们元旦节快乐！新年快乐！,1,https://mandarinbean.com/hello-2018/
回家,Get back home,丈夫、妻子和孩子一起开车回家。他们的家在30楼。 大楼电梯有问题，今天不能坐电梯了。 他们都想回家睡觉。 三个人一起走楼梯回家，一边唱歌，一边走，这样就不那么累了。 他们一个人唱一首歌，唱了10首，这时他们走到了第29楼，大家都觉得很累。 妻子很高兴“我们再唱一首歌，就到家了。” 丈夫说：“是的，但是……钥匙在车里。”,2,https://mandarinbean.com/get-back-home/
冬至,Winter Solstice Festival,12月22日是今年的第22个节气—冬至。 这一天，北半球晚上最长，白天最短。 因为这是冬天，所以天气很冷。 冬至的时候，中国人会吃饺子、羊肉、馄饨、豆腐、汤圆。 在中国，这是很重要的一天，有“冬至大似年”的说法。,2,https://mandarinbean.com/winter-solstice-festival/
大雪,Heavy Snow,中国有24个节气。今天开始第21个节气——大雪。 在这个节气，雪会越来越大，气温下降很多，天气也更冷。 大家应该多喝水，多穿衣服，不要生病。 中医认为，这个时候我们要多喝热粥，吃羊肉。桔子也是冬天很好的水果。 对农民来说，这个节气也非常重要。因为如果雪很大，那么下一年会是丰收的一年，所以我们说“瑞雪兆丰年”。,2,https://mandarinbean.com/heavy-snow/
冬天去哪玩儿,"Winter travel, where to go?",中国的冬天，你知道去哪里玩儿更好吗？ 哈尔滨是个很漂亮的城市，你可以看雪，看冰灯。 这个城市在中国的东北，非常冷。 东北的食物也很好吃，大家都喜欢吃东北的饺子。,2,https://mandarinbean.com/winter-travel-where-to-go/
大寒,Great Cold,1月20日，大寒。这是二十四节气中的最后一个节气。 这个时候，天气多是雨雪、低温、大风。我们要少吃生冷的东西，多吃羊肉、牛肉等。 “小寒大寒，杀猪过年”，因为下一个节气就是立春了。在中国，特别是农村，每到大寒节气，人们就开始忙着准备过年的东西了。 大寒以后，新一年的节气将开始。,2,https://mandarinbean.com/great-cold/
聪明药,Pills to Make You Clever,有个病人问医生：“医生，有让人变聪明的药吗？”医生开了一些药，叫他下个星期再来。 一星期后，他问医生：“我觉得没有变聪明啊。”  医生说：“不会的，你再吃一个星期的药吧。”病人有些不信，但还是听了医生的话。 第二个星期后，病人又来到医院问医生：“我怎么还没觉得比以前聪明啊。医生，是不是没有聪明药呢？” 医生回答：“不对，我觉得你现在比以前聪明多了。”,2,https://mandarinbean.com/pills-to-make-you-clever/
爸爸去哪儿了？,Where is the father?,哥哥和弟弟两个人在看一些漂亮的画。 “看，”哥哥说，“这些画多漂亮啊！” “是啊，”弟弟说，“但是这些画只有妈妈和孩子。” “那爸爸去哪儿了呢？”哥哥想了想说：“他在画这些画啊。”,1,https://mandarinbean.com/where-is-the-father/
大年初一,The Spring Festival,新年好！今天是大年初一，就是我们的“春节”。 这是新一年的第一天，是春季的第一天，也是正月的第一天。 春节是中国最重要的一天。 中国人过春节已经有4000多年了。 春节快乐，恭喜发财！,2,https://mandarinbean.com/the-spring-festival/
西安-成都,High-speed Rail Between Xi`an and Chengdu,西安到成都的高铁开通了。 第一个星期六和星期天，有1万多人坐高铁去成都。 也有很多人从成都去西安旅游。 以前，西安到成都的火车时间是16个小时。 现在，只要4个多小时。 两个城市的人都很方便。,2,https://mandarinbean.com/high-speed-rail-between-xian-and-chengdu/
帮忙,Help,一个老人走到一个年轻人旁边，问：“先生，请帮我在明信片上写地址好吗？” “可以。”年轻人照老人的话写下了地址。 老人说：“再帮我写上一些话，好吗？谢谢！” “好吧。”年轻人照老人的话写好后，笑着问：“还有什么要帮忙的吗？” “还有一件小事。”老人看着明信片说，“帮我再写几个字：字写得很不好，请不要在意。”,2,https://mandarinbean.com/help-bangmang/
睡觉,Sleeping,一位拳击运动员晚上睡不着，请求医生的帮助。医生让他睡觉前念数字。第二天，运动员又来了，他对医生说：这个方法不行！我从一念到九的时候，马上就跳起来了！,2,https://mandarinbean.com/sleeping/
戒指,The Ring,A：你捡到了戒指，为什么不说，而是自己戴上了？ B：因为我看到戒指上写着：我是你的！,2,https://mandarinbean.com/the-ring/
